household_id,居住都道府県,居住市区町村,生活保護,児童手当,児童育成手当,児童扶養手当_最小
176,神奈川県,横浜市,129300.0,0.0,0.0,0.0
177,神奈川県,横浜市,129300.0,0.0,0.0,0.0
178,神奈川県,横浜市,126980.0,0.0,0.0,0.0
179,神奈川県,横浜市,126980.0,0.0,0.0,0.0
180,神奈川県,横浜市,129300.0,0.0,0.0,0.0
181,神奈川県,横浜市,126980.0,0.0,0.0,0.0
182,神奈川県,横浜市,126980.0,0.0,0.0,0.0
183,神奈川県,横浜市,126980.0,0.0,0.0,0.0
184,神奈川県,横浜市,126980.0,0.0,0.0,0.0
185,神奈川県,横浜市,126980.0,0.0,0.0,0.0
186,神奈川県,横浜市,131960.0,0.0,0.0,0.0
187,神奈川県,横浜市,126980.0,0.0,0.0,0.0
188,神奈川県,横浜市,126980.0,0.0,0.0,0.0
189,神奈川県,横浜市,129300.0,0.0,0.0,0.0
190,神奈川県,横浜市,129300.0,0.0,0.0,0.0
191,神奈川県,横浜市,126980.0,0.0,0.0,0.0
192,神奈川県,横浜市,131960.0,0.0,0.0,0.0
193,神奈川県,横浜市,129300.0,0.0,0.0,0.0
194,神奈川県,横浜市,131960.0,0.0,0.0,0.0
195,神奈川県,横浜市,129300.0,0.0,0.0,0.0
196,神奈川県,横浜市,126980.0,0.0,0.0,0.0
197,神奈川県,横浜市,129300.0,0.0,0.0,0.0
198,神奈川県,横浜市,129300.0,0.0,0.0,0.0
199,神奈川県,横浜市,129300.0,0.0,0.0,0.0
200,神奈川県,横浜市,131960.0,0.0,0.0,0.0
201,神奈川県,横浜市,131960.0,0.0,0.0,0.0
202,神奈川県,横浜市,131960.0,0.0,0.0,0.0
203,神奈川県,横浜市,129300.0,0.0,0.0,0.0
204,神奈川県,横浜市,129300.0,0.0,0.0,0.0
205,神奈川県,横浜市,131960.0,0.0,0.0,0.0
206,神奈川県,横浜市,129300.0,0.0,0.0,0.0
207,神奈川県,横浜市,131960.0,0.0,0.0,0.0
208,神奈川県,横浜市,126980.0,0.0,0.0,0.0
209,神奈川県,横浜市,129300.0,0.0,0.0,0.0
210,神奈川県,横浜市,126980.0,0.0,0.0,0.0
211,神奈川県,横浜市,126980.0,0.0,0.0,0.0
212,神奈川県,横浜市,126980.0,0.0,0.0,0.0
213,神奈川県,横浜市,126980.0,0.0,0.0,0.0
214,神奈川県,横浜市,129300.0,0.0,0.0,0.0
215,神奈川県,横浜市,126980.0,0.0,0.0,0.0
216,神奈川県,横浜市,129300.0,0.0,0.0,0.0
217,神奈川県,横浜市,126980.0,0.0,0.0,0.0
218,神奈川県,横浜市,126980.0,0.0,0.0,0.0
219,神奈川県,横浜市,129300.0,0.0,0.0,0.0
220,神奈川県,横浜市,129300.0,0.0,0.0,0.0
221,神奈川県,横浜市,129300.0,0.0,0.0,0.0
222,神奈川県,横浜市,126980.0,0.0,0.0,0.0
223,神奈川県,横浜市,129300.0,0.0,0.0,0.0
224,神奈川県,横浜市,126980.0,0.0,0.0,0.0
225,神奈川県,横浜市,129300.0,0.0,0.0,0.0
226,神奈川県,横浜市,126980.0,0.0,0.0,0.0
227,神奈川県,横浜市,126980.0,0.0,0.0,0.0
228,神奈川県,横浜市,131960.0,0.0,0.0,0.0
229,神奈川県,横浜市,126980.0,0.0,0.0,0.0
230,神奈川県,横浜市,126980.0,0.0,0.0,0.0
231,神奈川県,横浜市,131960.0,0.0,0.0,0.0
232,神奈川県,横浜市,126980.0,0.0,0.0,0.0
233,神奈川県,横浜市,126980.0,0.0,0.0,0.0
234,神奈川県,横浜市,129300.0,0.0,0.0,0.0
235,神奈川県,横浜市,131960.0,0.0,0.0,0.0
236,神奈川県,横浜市,129300.0,0.0,0.0,0.0
237,神奈川県,横浜市,131960.0,0.0,0.0,0.0
238,神奈川県,横浜市,126980.0,0.0,0.0,0.0
239,神奈川県,横浜市,126980.0,0.0,0.0,0.0
